2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_5, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_6, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\seminar_10_7, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\hometask_12_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\hometask_12_2-3_chess, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet\check_date, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet\chess, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet\guess_number, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet\riddles, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet\__init__, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12\seminar12packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar_12_2-3_guess_number, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar_12_4-6_riddles, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar12\seminar_12_7_check_date, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar12
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\hometask_14_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar14packet, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar14packet\my_files, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14\seminar14packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar14packet\__init__, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14\seminar14packet
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar_14_1, Расширение: .txt, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar_14_2, Расширение: .txt, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar_14_3, Расширение: .txt, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar14\seminar_14_hometask_14_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar14
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\accessdb, Расширение: .json, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\hometask_16_1, Расширение: .csv, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\hometask_16_1, Расширение: .json, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\hometask_16_1, Расширение: .pkl, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\hometask_16_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\hometask_16_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\seminar_16_1, Расширение: .json, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\seminar_16_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\seminar_16_1, Расширение: .txt, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar16\seminar_16_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar16
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\hometask_18_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\hometask_18_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\koefs, Расширение: .csv, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\results, Расширение: .json, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_5, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar18\seminar_18_6, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar18
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20\hometask_20_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar20
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20\hometask_20_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar20
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20\seminar_20_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar20
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20\seminar_20_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar20
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar20\seminar_20_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar20
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar22, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar22\hometask_22_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar22
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar22\hometask_22_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar22
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar22\hometask_22_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar22
